CFE 106A	EMBRACING THE CICM MISSION	2
CS 411	CS THESIS 1	3
CS 412	INFORMATION ASSURANCE AND SECURITY	3
CS 413	PROFESSIONAL PRACTICE AND CYBERETHICS	3
CSE 15	DATA MINING (LEC)	2
CSE 15L	DATA MINING (LAB)	1
CSE 25	UX CONCEPTS AND DESIGN (Elective)	3
