CFE 105B	CICM IN ACTION: ENVIRONMENTAL PLANNING & MANAGEMENT AND DISASTER RISK REDUCTION MANAGEMENT	2
CS 321	ARTIFICIAL INTELLIGENCE	3
CS 322	DATA SCIENCE (LEC)	2
CS 322L	DATA SCIENCE (LAB)	1
CS 323	MODELING AND SIMULATION (LEC)	2
CS 323L	MODELING AND SIMULATION (LAB)	1
CS 324	METHODS OF RESEARCH IN COMPUTER SCIENCE	3
CS 325	STRUCTURE OF PROGRAMMING LANGUAGES	3
