CFE 105A	CICM IN ACTION: JUSTICE, PEACE, INTEGRITY OF CREATION INDIGENOUS PEOPLES & INTERRELIGIOUS DIALOGUE	2
CS 311	APPLICATIONS DEVELOPMENT (LEC)	2
CS 311L	APPLICATIONS DEVELOPMENT (LAB)	1
CS 312	WEB SYSTEMS DEVELOPMENT (LEC)	2
CS 312L	WEB SYSTEMS DEVELOPMENT (LAB)	1
CS 313	SOFTWARE ENGINEERING	3
CS 314	SOCIAL AND PERSONAL DEVELOPMENT IN THE ICT WORKPLACE	3
CS 315	TECHNOLOGY-ASSISTED PRESENTATION AND COMMUNICATION	3
CSM 316	NUMERICAL METHODS FOR COMPUTER SCIENCE	3
